Month,Total Waste (Million Tons),Red Meat,Poultry,Fish,Leafy Vegetables,Root Vegetables,Citrus Fruits,Berries,Whole Grains,Processed Grains,Dairy,Legumes & Seeds,Other Items
2025-01,4.724,0.428,0.367,0.306,0.734,0.612,0.367,0.306,0.489,0.367,0.214,0.428,0.107
2025-02,4.724,0.428,0.367,0.306,0.734,0.612,0.367,0.306,0.489,0.367,0.214,0.428,0.107
2025-03,4.724,0.428,0.367,0.306,0.734,0.612,0.367,0.306,0.489,0.367,0.214,0.428,0.107
2025-04,4.724,0.428,0.367,0.306,0.734,0.612,0.367,0.306,0.489,0.367,0.214,0.428,0.107
2025-05,4.724,0.428,0.367,0.306,0.734,0.612,0.367,0.306,0.489,0.367,0.214,0.428,0.107
2025-06,4.724,0.428,0.367,0.306,0.734,0.612,0.367,0.306,0.489,0.367,0.214,0.428,0.107
2025-07,5.433,0.492,0.422,0.352,0.844,0.703,0.422,0.352,0.563,0.422,0.246,0.492,0.123
2025-08,5.669,0.514,0.44,0.367,0.881,0.734,0.44,0.367,0.587,0.44,0.257,0.514,0.128
2025-09,5.433,0.492,0.422,0.352,0.844,0.703,0.422,0.352,0.563,0.422,0.246,0.492,0.123
2025-10,4.724,0.428,0.367,0.306,0.734,0.612,0.367,0.306,0.489,0.367,0.214,0.428,0.107
2025-11,4.724,0.428,0.367,0.306,0.734,0.612,0.367,0.306,0.489,0.367,0.214,0.428,0.107
2025-12,5.669,0.514,0.44,0.367,0.881,0.734,0.44,0.367,0.587,0.44,0.257,0.514,0.128
2026-01,4.772,0.432,0.371,0.309,0.741,0.618,0.371,0.309,0.494,0.371,0.216,0.432,0.108
2026-02,4.772,0.432,0.371,0.309,0.741,0.618,0.371,0.309,0.494,0.371,0.216,0.432,0.108
2026-03,4.772,0.432,0.371,0.309,0.741,0.618,0.371,0.309,0.494,0.371,0.216,0.432,0.108
2026-04,4.772,0.432,0.371,0.309,0.741,0.618,0.371,0.309,0.494,0.371,0.216,0.432,0.108
2026-05,4.772,0.432,0.371,0.309,0.741,0.618,0.371,0.309,0.494,0.371,0.216,0.432,0.108
2026-06,4.772,0.432,0.371,0.309,0.741,0.618,0.371,0.309,0.494,0.371,0.216,0.432,0.108
2026-07,5.487,0.497,0.426,0.355,0.852,0.711,0.426,0.355,0.568,0.426,0.249,0.497,0.124
2026-08,5.726,0.519,0.445,0.371,0.889,0.741,0.445,0.371,0.593,0.445,0.259,0.519,0.13
2026-09,5.487,0.497,0.426,0.355,0.852,0.711,0.426,0.355,0.568,0.426,0.249,0.497,0.124
2026-10,4.772,0.432,0.371,0.309,0.741,0.618,0.371,0.309,0.494,0.371,0.216,0.432,0.108
2026-11,4.772,0.432,0.371,0.309,0.741,0.618,0.371,0.309,0.494,0.371,0.216,0.432,0.108
2026-12,5.726,0.519,0.445,0.371,0.889,0.741,0.445,0.371,0.593,0.445,0.259,0.519,0.13
2027-01,4.819,0.437,0.374,0.312,0.749,0.624,0.374,0.312,0.499,0.374,0.218,0.437,0.109
2027-02,4.819,0.437,0.374,0.312,0.749,0.624,0.374,0.312,0.499,0.374,0.218,0.437,0.109
2027-03,4.819,0.437,0.374,0.312,0.749,0.624,0.374,0.312,0.499,0.374,0.218,0.437,0.109
2027-04,4.819,0.437,0.374,0.312,0.749,0.624,0.374,0.312,0.499,0.374,0.218,0.437,0.109
2027-05,4.819,0.437,0.374,0.312,0.749,0.624,0.374,0.312,0.499,0.374,0.218,0.437,0.109
2027-06,4.819,0.437,0.374,0.312,0.749,0.624,0.374,0.312,0.499,0.374,0.218,0.437,0.109
2027-07,5.542,0.502,0.43,0.359,0.861,0.718,0.43,0.359,0.574,0.43,0.251,0.502,0.126
2027-08,5.783,0.524,0.449,0.374,0.898,0.749,0.449,0.374,0.599,0.449,0.262,0.524,0.131
2027-09,5.542,0.502,0.43,0.359,0.861,0.718,0.43,0.359,0.574,0.43,0.251,0.502,0.126
2027-10,4.819,0.437,0.374,0.312,0.749,0.624,0.374,0.312,0.499,0.374,0.218,0.437,0.109
2027-11,4.819,0.437,0.374,0.312,0.749,0.624,0.374,0.312,0.499,0.374,0.218,0.437,0.109
2027-12,5.783,0.524,0.449,0.374,0.898,0.749,0.449,0.374,0.599,0.449,0.262,0.524,0.131
2028-01,4.868,0.441,0.378,0.315,0.756,0.63,0.378,0.315,0.504,0.378,0.221,0.441,0.11
2028-02,4.868,0.441,0.378,0.315,0.756,0.63,0.378,0.315,0.504,0.378,0.221,0.441,0.11
2028-03,4.868,0.441,0.378,0.315,0.756,0.63,0.378,0.315,0.504,0.378,0.221,0.441,0.11
2028-04,4.868,0.441,0.378,0.315,0.756,0.63,0.378,0.315,0.504,0.378,0.221,0.441,0.11
2028-05,4.868,0.441,0.378,0.315,0.756,0.63,0.378,0.315,0.504,0.378,0.221,0.441,0.11
2028-06,4.868,0.441,0.378,0.315,0.756,0.63,0.378,0.315,0.504,0.378,0.221,0.441,0.11
2028-07,5.598,0.507,0.435,0.362,0.87,0.725,0.435,0.362,0.58,0.435,0.254,0.507,0.127
2028-08,5.841,0.529,0.454,0.378,0.907,0.756,0.454,0.378,0.605,0.454,0.265,0.529,0.132
2028-09,5.598,0.507,0.435,0.362,0.87,0.725,0.435,0.362,0.58,0.435,0.254,0.507,0.127
2028-10,4.868,0.441,0.378,0.315,0.756,0.63,0.378,0.315,0.504,0.378,0.221,0.441,0.11
2028-11,4.868,0.441,0.378,0.315,0.756,0.63,0.378,0.315,0.504,0.378,0.221,0.441,0.11
2028-12,5.841,0.529,0.454,0.378,0.907,0.756,0.454,0.378,0.605,0.454,0.265,0.529,0.132
2029-01,4.916,0.446,0.382,0.318,0.764,0.637,0.382,0.318,0.509,0.382,0.223,0.446,0.111
2029-02,4.916,0.446,0.382,0.318,0.764,0.637,0.382,0.318,0.509,0.382,0.223,0.446,0.111
2029-03,4.916,0.446,0.382,0.318,0.764,0.637,0.382,0.318,0.509,0.382,0.223,0.446,0.111
2029-04,4.916,0.446,0.382,0.318,0.764,0.637,0.382,0.318,0.509,0.382,0.223,0.446,0.111
2029-05,4.916,0.446,0.382,0.318,0.764,0.637,0.382,0.318,0.509,0.382,0.223,0.446,0.111
2029-06,4.916,0.446,0.382,0.318,0.764,0.637,0.382,0.318,0.509,0.382,0.223,0.446,0.111
